Identifier,RG/MS Number,Collection Title,"Box, Folder, URL",Date,Subjects,People,Title,Item Description,Reviewed
band.nsp.0001,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1901-12-02/ed-1/seq-1/#words=band+rally,1901-12-02,Sports; Cheer & Pep; Parade,-,Football Season Ends,"The Cadet Band plays at the final football game of season. After the team's victory, the band leads a crowd down streets of Lincoln in an impromptu parade.",
band.nsp.0002,nebnewspapers,The Hesperian,https://nebnewspapers.unl.edu/lccn/sn96080314/1900-02-13/ed-1/seq-1/#words=band+Band,1900-02-13,Concert; Military; Drill,-,Charter Day Program,The 31st Charter Day celebration includes performances by the Cadet Band and drill exercises by the Cadets.,
band.nsp.0003,nebnewspapers,The Hesperian,https://nebnewspapers.unl.edu/lccn/sn96080314/1900-02-13/ed-1/seq-3/#words=band,1900-02-13,Concert; Military; Parade,-,The Battalion,The Cadet Band will give a concert followed by a dress parade as part of the Charter Day celebrations.,
band.nsp.0004,nebnewspapers,The Hesperian,https://nebnewspapers.unl.edu/lccn/sn96080314/1900-03-01/ed-1/seq-1/#words=band+Band,1900-03-01,Concert; Military; Drill,"Williston, S. W.",University Charter Day,"Summarizes the 31st Charter Day celebration, including the Cadet Band's concert and Cadet drill performances.",
band.nsp.0005,nebnewspapers,The Hesperian,https://nebnewspapers.unl.edu/lccn/sn96080314/1900-03-14/ed-1/seq-4/#words=band,1900-03-14,Concert,-,[Untitled],The authors of The Hesperian look ahead to the spring season and believe the Cadet Band's open air concerts will be in demand.,
band.nsp.0006,nebnewspapers,The Hesperian,https://nebnewspapers.unl.edu/lccn/sn96080314/1900-05-09/ed-1/seq-1/#words=band,1900-05-09,Sports; Cheer & Pep,"Wehn, Earle",Girls' Gymnasium Exhibit,The Cadet Band accompanies a dance and gymnastics exhibition,
band.nsp.0007,nebnewspapers,The Hesperian,https://nebnewspapers.unl.edu/lccn/sn96080314/1900-05-16/ed-1/seq-3/#words=band,1900-05-16,Military; Drill,-,Government Inspection,The Cadet Battalion faces inspection and review while the Cadet Band performs.,
band.nsp.0008,nebnewspapers,The Hesperian,https://nebnewspapers.unl.edu/lccn/sn96080314/1900-05-23/ed-1/seq-6/#words=band,1900-05-23,Military; Concert,-,Cadet Encampment,The Cadet Battalion takes part in their annual encampment. The Cadet Band performs during a Y.M.C.A. service and weekend concerts. Includes description of encampment schedule and activities.,
band.nsp.0009,nebnewspapers,The Hesperian,https://nebnewspapers.unl.edu/lccn/sn96080314/1900-09-18/ed-1/seq-5/#words=band,1900-09-18,,"Wehn, Earle; Kimball, Willard;",School of Music Notes,"General updates about the School of Music, including Cadet Band director Earle Wehn's plans to teach piano.",
band.nsp.0010,nebnewspapers,The Hesperian,https://nebnewspapers.unl.edu/lccn/sn96080314/1900-09-25/ed-1/seq-1/#words=band,1900-09-25,Concert,"
Andrews, Elisha Benjamin; Barbour, Erwin H.",Inaugural Ceremony,The Cadet Band plays in the inagural exercises for Chancellor Andrews. The article includes the text of remarks by the President of the Board of Regents.,
band.nsp.0011,nebnewspapers,The Hesperian,https://nebnewspapers.unl.edu/lccn/sn96080314/1900-10-23/ed-1/seq-6/#words=band,1900-10-23,Uniform & Equipment,-,Local and Personal,"The Cadet Band receives new music. Text of article: ""The band has received a large assortment of new music and now some of those time-worn pieces that have awakened the echoes of the campus since time memorial, can be consigned to the waste basket""",
band.nsp.0012,nebnewspapers,The Hesperian,https://nebnewspapers.unl.edu/lccn/sn96080314/1900-10-30/ed-1/seq-1/#words=band,1900-10-30,Military; Auditions,-,Cadet Appointments,The Cadet Battalion receives general orders to be divided into four companies and a band. The Cadet Band drum major and officers are announced.,
band.nsp.0013,nebnewspapers,The Hesperian,https://nebnewspapers.unl.edu/lccn/sn96080314/1900-10-30/ed-1/seq-4/#words=band,1900-10-30,Other Band,-,[Untitled],News from the Minnesota Daily indicates that Minnesota will be sending their band to play at the Thanksgiving football game.,
band.nsp.0014,nebnewspapers,The Hesperian,https://nebnewspapers.unl.edu/lccn/sn96080314/1900-11-20/ed-1/seq-7/#words=Band,1900-11-20,Other Band; Cheer & Pep,"Wehn, Earle;",Local and Personal,"The Cadet Band will perform at the Thanksgiving game against Minnesota, and hopes musicians will stay in Lincoln in order to compete against Minnesota's band.",
band.nsp.0015,nebnewspapers,The Hesperian,https://nebnewspapers.unl.edu/lccn/sn96080314/1900-11-27/ed-1/seq-1/#words=band,1900-11-27,Sports; Other Band,-,Final Arrangements,The Minnesota Band of 35 members is arriving Wednesday afternoon on the train.,
band.nsp.0016,nebnewspapers,The Hesperian,https://nebnewspapers.unl.edu/lccn/sn96080314/1900-11-27/ed-1/seq-6/#words=band+bands,1900-11-27,Uniform & Equipment; Rehearsal; Other Band; Halftime & Pregame,"Wehn, Earle;",Local and Personal,The Cadet Band will move from the armory to the old chapel upon completion of the new chapel. The band members receive new music. The band hopes to compare favorably to the Minnesota band during the Thanksgiving football game.,
band.nsp.0017,nebnewspapers,The Hesperian,https://nebnewspapers.unl.edu/lccn/sn96080314/1900-12-05/ed-1/seq-2/#words=band+bands,1900-12-05,Parade; Other Band; Halftime & Pregame,-,Football Notes,The Minnesota Band parades to their hotel. The Cadet and Minnesota bands perform before the football game.,
band.nsp.0018,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1902-04-23/ed-1/seq-2/#words=band+bands+parade,1902-04-23,Drill; Military; Concert,-,[Untitled],"Dress Parade Critique. A critic tears at the University Band's dress parade performance, claiming the band must spend too much time on concert music rather than military marches.",
band.nsp.0019,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1902-04-25/ed-1/seq-2/#words=band+parade,1902-04-25,Drill; Military; Concert,-,[Untitled],Dress Parade Critique. The critic explains that the previous editorial was meant to point out that the band performs better in concert than on dress parade and is not strictly a military band.,
band.nsp.0020,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1902-05-14/ed-1/seq-1/#words=band+cadet+cadets+parade,1902-05-14,Drill; Military,-,Pass Inspection: Cadet Battalion Appears Before a Regular Officer--Showing Made Compares Favorably with the Best,Lt. McClintock inspects the cadet battalion and band at parade grounds. The inspecting officer says the battalion would rank near the top compared with schools in seven nearby states.,
band.nsp.0021,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1902-10-20/ed-1/seq-1/#words=band+Parade,1902-10-20,Parade; Cheer & Pep; Sports,-,Rooters' Celebration,"After the football team's 6-0 defeat of Minnesota, the University Band plays at a parade and bonfire.",
band.nsp.0022,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1903-03-06/ed-1/seq-2/#words=Band+rallies+rally,1903-03-06,Military; Concert,-,Convocation Notes,A listing shows songs performed by the Cadet Band during the week's convocation program.,
band.nsp.0023,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1903-05-15/ed-1/seq-2/#words=band+Band+bands+Cadet+Cadets+Parade,1903-05-15,Drill; Military,-,Program for this Afternoon,The Cadet Band performs at an afternoon drill program.,
band.nsp.0024,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1903-05-09/ed-1/seq-1/,1903-05-09,Concert; Drill,-,Fete Day Brings a Large Crowd,A band concert and dress parade follow the Nebraska Interscholastic Meet.,
band.nsp.0025,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1903-09-25/ed-1/seq-1/#words=Band+band+Cadet+cadet+cadets+rallies,1903-09-03,Military; Fundraising & Finance; Events & Dances,"Pepperberg, L.J.; Hagenow, August",Cadet Band Elects Officers,"The Cadet Band president L.J. Pepperberg presides over a meeting to elect the band's leadership. The band is raising funds and performing at twice monthly ""Band Informals."" ",
band.nsp.0026,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1903-10-21/ed-1/seq-1/#words=Band+Rally,1903-10-21,Fundraising & Finance; Events & Dances,-,[Untitled],"A Band Informal will be held Saturday night, and admission is fifty cents.",
band.nsp.0027,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1903-10-23/ed-1/seq-1/#words=band+Band+cadets+Rally+rally,1903-10-23,Cheer & Pep; Sports,-,Spirit Displayed,The Cadet Band will play at a rally for the Nebraska football game ,
band.nsp.0028,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1903-11-06/ed-1/seq-1/#words=BAND+rally,1903-11-06,Events & Dances,-,Band Informal,"Advertisement for November 1903 Band Informal, Tickets 50 cents",
band.nsp.0029,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1903-11-24/ed-1/seq-1/#words=band+rally,1903-11-24,Cheer & Pep,"Maupin, Will M.; O'Shea, William",Nebraska,"Words to new song ""Nebraska"" by Will M. Maupin and William O'Shea",
band.nsp.0030,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1903-11-24/ed-1/seq-1/,1903-11-24,Cheer & Pep; Sports,-,Final Meeting: Mass-Meeting for Illinois Today. How Bellevue Was Swamped,Cadet band to play at rally for Nebraska v Illinois Thanksgiving football game,
band.nsp.0031,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1903-11-25/ed-1/seq-4/#words=band+rally,1903-11-25,Rehearsal,"Pepperberg, L.J.",Campus Gleanings,Short text update reads: L. J. Pepperberg has not been in attendance at band practice the past week on account of an attack of tonsilitis,
band.nsp.0032,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1904-01-20/ed-1/seq-1/,1904-01-20,Travel; Military,"Chase, Wilson; Culp, E. C.",A Space Reserved: Quarters for Cadets at St. Louis If They Go,Correspondence between Cp. Wilson Chase and E. C. Culp published about the possibility of housing the Cadets at the St. Louis Exposition,
band.nsp.0033,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1904-02-03/ed-1/seq-1/,1904-02-03,Travel; Military,"Chase, Wilson; Culp, E. C.",Cadet Encampement Again,The Cadets have been given 100 spots in the barracks while attending the St. Louis Exposition,
band.nsp.0034,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1904-02-11/ed-1/seq-1/,1904-02-11,Travel; Military,-,Further Communication,More details about the Cadets' trip to the St. Louis Exposition,
band.nsp.0035,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1904-02-11/ed-1/seq-1/,1904-02-11,Concert; Sports,"Hagenow, August",The Band Concert: Cadet Band Will Give Concert February 29th,Details about the band's upcoming Quadrennial concert. The article is complimentary of the Band's involvement with football games and its value to the university. ,
band.nsp.0036,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1904-05-21/ed-1/seq-1/,1904-05-21,Military; Drill,- ,Co. A Wins the Cup: Competitive Drill a Fine Spectacle,The Cadet Band provides music for the Cadet's drill competition,
band.nsp.0037,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1904-05-21/ed-1/seq-1/,1904-05-21,Concert; Events & Dances,-,Band Concert,An advertisement for a band concert followed by a band informal,
band.nsp.0038,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1904-05-27/ed-1/seq-1/,1904-05-27,Travel,-,Final Arrangements: All Details of Summer Schoo [sic] Excursion Attended To,"Information for students traveling to St. Louis Exposition, mentions that band is traveling and will ""wake up old Missouri""",
band.nsp.0039,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1905-10-20/ed-1/seq-1/#words=Band+band+cadet+RALLY,1905-10-20,Cheer & Pep; Sports,"Andrews, Elisha Benjamin; ",Monstrous Rally: Enthusiastic Students Make Chapel Rounds,"1500 students gather for a rally for the upcoming Wolverines football game. The article remarks that the band ""rendered noble service in adding to the noise, and if that is the only requisite for a victory in football, the Cornhuskers will have an easy time with the Wolverines.""",
band.nsp.0040,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1905-10-20/ed-1/seq-1/#words=Band+band+cadet+RALLY,1905-10-20,Cheer & Pep; Sports,-,Off to Michigan: Team Leaves for Ann Arbor in Midst of Wild Cheering,"The Cadet Band and fans accompany the football team on their way to the train station, bound for Michigan.",
band.nsp.0041,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1905-10-21/ed-1/seq-2/#words=Band+bands+rally+Rallyy,1905-10-21,Cheer & Pep; Politics,-,Republican Rally Program,Program of the Republic Club meeting with music provided by the Cadet Band,
band.nsp.0042,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1905-10-25/ed-1/seq-4/#words=Band+rally,1905-10-25,Cheer & Pep; Politics,Board of Regents,Meeting of Republican Club,Cadet Band plays for Republican Club meeting in Memorial Hall.,
band.nsp.0043,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1905-11-03/ed-1/seq-3/#words=band+Band+rally,1905-11-03,Events & Dances; Fundraising & Finance,-,The First Band Informal,"The Cadet Band will hold the first Band Informal of the year, and is considering charging single men double because of the event's popularity.",
band.nsp.0044,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1905-11-10/ed-1/seq-1/#words=band+rally,1905-11-10,Cheer & Pep; Sports,-,Team Looks Good: Colorado Strong on Defensive Work,The Cadet Band will perform at a rally for the Nebraska v Colorado game.,
band.nsp.0045,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1905-11-11/ed-1/seq-1/#words=BAND+band+rally,1905-11-11,Cheer & Pep; Sports; Events & Dances; Fundraising & Finance,-,Football: Nebraska vs Colorado,The Cadet Band performs at a rally for the Nebraska v Colorado football game and advertises an upcoming Band Informal with 50-cent admission.,
band.nsp.0046,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1905-11-14/ed-1/seq-2/#words=band+paraded,1905-11-14,Halftime & Pregame; Sports,-,Nebraska Wins,The Nebraska band performs during halftime of Nebraska v Colorado game.,
band.nsp.0047,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1905-11-17/ed-1/seq-1/#words=Band+band+rally,1905-11-17,Cheer & Pep; Sports; Fundraising & Finanace,-,Hold Enthusiastic Rally,"The Cadet Band plays at rally before Nebraska vs. Minnesota football game. The Athletic Board had provided $150 for band to travel to game, but the amount was insufficient.",
band.nsp.0048,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1905-11-24/ed-1/seq-3/#words=Band+Cadet+rally,1905-11-24,Concert,-,Bulletin,The Cadet Band performs at a Thanksgiving program.,
band.nsp.0049,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1906-10-11/ed-1/seq-1/#words=Band+band+rally+RALLY,1906-10-06,Cheer & Pep; Sports,-,Football Rally,The Cadet Band plays at the year's first football rally. The article includes lyrics to football songs.,
band.nsp.0050,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1906-10-12/ed-1/seq-1/#words=band+RALLY,1906-10-12,Cheer & Pep; Sports,-,The Big Rally,The Cadet Band plays at a rally before football game against Drake.,
band.nsp.0051,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1906-10-12/ed-1/seq-3/#words=Band+Cadet+RALLY+Rally,1906-10-12,Events & Dances; Politics,-,[Untitled],The Cadet Band will play at a Republican Rally in Memorial Hall.,
band.nsp.0052,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1906-10-18/ed-1/seq-1/#words=Band+rally+RALLYY,1906-10-18,Cheer & Pep; Sports,-,Rally for Ames,The Cadet Band will play at the year's second football rally.,
band.nsp.0053,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1906-10-19/ed-1/seq-1/#words=band+rallies+RALLY+rallyy,1906-10-19,Cheer & Pep; Sports,-,A Good Meeting: Football Rally Proves Immense Success,"The Cadet Band plays at football rally, and in an adjacent article, ""The Prize Song,"" H.C. Robertson is announced as the winner of the football song contest. The band chose the contest winner.",
band.nsp.0054,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1906-11-01/ed-1/seq-1/#words=band+rally+Rally,1906-11-01,Cheer & Pep; Sports; Events & Dances; Politics,-,Team Leaves Tonight: Big Send-Off Rally to be Held at the State,The Cadet Band joins students In a send-off rally for the football team and will be performing the next night at a political debate held in Memorial Hall.,
band.nsp.0055,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1906-11-16/ed-1/seq-1/#words=band+Band+cadet+RALLY,1906-11-05,Cheer & Pep; Sports,-,Mass Meeting: Rousing Football Rally for Kansas Game this Morning,The Cadet Band plays at a rally the day before the Nebraska vs. Kansas football game.,
band.nsp.0056,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1906-11-17/ed-1/seq-1/#words=band+RALLY+rally,1906-11-17,Cheer & Pep; Sports,-,A Great Rally: Biggest and Best Football Mass Meeting of the Year,The Cadet Band plays at a rally for the Nebraska vs. Kansas football game. Nebraska's songs and yells are published beside the article.,
band.nsp.0057,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1907-04-05/ed-1/seq-3/#words=BAND+Band+band+RALLY,1907-04-05,Concert,-,Band Concert,A band concert will be held at the Oliver on April 18.,
band.nsp.0058,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1907-04-05/ed-1/seq-1/#words=BAND+band+RALLY,1907-04-17,Events & Dances,-,"Big Debate Rally: Professors, Students, and Band at Meeting",The Cadet Band plays at a rally held the morning before Nebraska's debate team faces Wisconsin's.,
band.nsp.0059,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1907-05-23/ed-1/seq-1/#words=band+Band+RALLY+rally,1907-05-23,Events & Dances,"Pound, Roscoe, 1870-1964",A Big Demonstration: Rousing Rally of Students for Dean Pound on Campus Tonight at 7:30,"Band, students, and staff hold a rally for Roscoe Pound, Dean Of Law School.",
